Tweet,Date,Time,Text
tweet01,Dec-02-2017,7:33 pm,"{""Text"":""@highqualitysh1t I love the thought of a car drifting apparently endlessly through space and perhaps being discovered by an alien race millions of years in the future"""
tweet02,Apr-04-2019,10:24 am,"{""Text"":""@Tom_Heats Dogecoin might be my fav cryptocurrency. It's pretty cool."""
tweet03,Apr-02-2019,8:40 pm,"{""Text"":""@dogecoin Uh oh"""
tweet04,Apr-02-2019,9:16 pm,"{""Text"":""Dogecoin rulz https://t.co/flWWUgAgLU"""
tweet05,Apr-02-2019,9:38 pm,"{""Text"":""Dogecoin value may vary https://t.co/UWerAhPv63"""
tweet06,Apr-25-2019,2:29 pm,"{""Text"":""@28delayslater @justpaulinelol Dogecoin Mode"""
tweet07,Nov-11-2020,6:45 pm,"{""Text"":""@ReflexFunds @nickidk4 @pcgamer Dojo/Doge"""
tweet08,Dec-20-2020,9:30 pm,"{""Text"":""One word: Doge"""
tweet09,Feb-04-2021,7:35 am,"{""Text"":""Doge"""
tweet10,Feb-04-2021,8:15 am,"{""Text"":""Dogecoin is the people's crypto"""
tweet11,Feb-06-2021,8:42 am,"{""Text"":""@Grimezsz Dogecake"""
tweet12,Feb-07-2021,2:24 am,"{""Text"":""@Dogecoinrich """
tweet13,Feb-07-2021,2:36 am,"{""Text"":""@Jbuttermost @Dogecoinrich """
tweet14,Feb-07-2021,10:25 pm,"{""Text"":"" Who let the Doge out """
tweet15,Feb-08-2021,1:13 am,"{""Text"":""D is for Dogecoin! Instructional video. https://t.co/UEEocOfcTb"""
tweet16,Feb-11-2021,11:27 pm,"{""Text"":""@gtera27 Doge is underestimated"""
tweet17,Feb-14-2021,11:33 pm,"{""Text"":""@RationalEtienne An acceptable percentage. Doge is much more concentrated."""
tweet18,Feb-20-2021,8:42 am,"{""Text"":""@dogecoin I just set up some little Doge mining rigs with my kids. It was fun."""
tweet19,Feb-21-2021,9:27 pm,"{""Text"":""Dojo 4 Doge"""
tweet20,Mar-04-2021,7:57 pm,"{""Text"":""Doge meme shield (legendary item) https://t.co/CeomU9q84c"""
tweet21,Mar-03-2021,8:36 am,"{""Text"":""@draecomino 2022: Dogecoin is dumb"""
tweet22,Mar-02-2021,9:07 pm,"{""Text"":""@WootiezTV Very much so &amp; its leader shall be The Doge  https://t.co/VXmuW5c0y9"""
tweet23,Mar-06-2021,4:40 am,"{""Text"":""Doge spelled backwards is Egod"""
tweet24,Mar-13-2021,11:40 pm,"{""Text"":""Doge day afternoon"""
tweet25,Mar-14-2021,11:11 pm,"{""Text"":""@beeple 420M Doge"""
tweet26,Mar-18-2021,9:17 pm,"{""Text"":""@lexfridman Sometimes it's about Doge"""
tweet27,Apr-01-2021,11:25AM,"{""Text"":""SpaceX is going to put a literal Dogecoin on the literal moon"""
tweet28,Apr-15-2021,5:33 am,"{""Text"":""Doge Barking at the Moon https://t.co/QFB81D7zOL"""
tweet29,Apr-15-2021,10:10 pm,"{""Text"":""@sadiaslayy @DogecoinBets """
tweet30,Apr-15-2021,11:41 pm,"{""Text"":""SpaceX launching satellite Doge-1 to the moon next year  - Mission paid for in Doge - 1st crypto in space - 1st meme in space  To the mooooonnn!!  https://t.co/xXfjGZVeUW"""
tweet31,May-11-2021,09:13,"{""Text"":""Do you want Tesla to accept Doge?"""
tweet32,May-13-2021,11:45 pm,"{""Text"":""Working with Doge devs to improve system transaction efficiency. Potentially promising."""
tweet33,May-16-2021,3:03 am,"{""Text"":""@long_elon @itsALLrisky Only if Doge can't do it. Big pain in the neck to create another one."""
tweet34,May-20-2021,11:41 am,"{""Text"":""How much is that Doge in the window? https://t.co/bxTkWOr50V"""
tweet35,May-20-2021,6:53 pm,"{""Text"":""@heydave7 A longtime Tesla supporter gave me the Doge dollar sticker at Giga Berlin"""
tweet36,May-28-2021,5:07 am,"{""Text"":""@TDogewhisperer @spair @itsALLrisky @mcuban """
tweet38,May-30-2021,10:24 pm,"{""Text"":""@hiddin2urleft @greg16676935420 @blockfolio @BillyM2k @itsALLrisky @GloryDoge @DogecoinRise @ItsDogeCoin @DogeEducation @Investments_CEO """
tweet39,Jun-02-2021,12:54 am,"{""Text"":""@dogeofficialceo @SouthPark When I visit Japan later this year"""
tweet40,Jun-04-2021,6:27 am,"{""Text"":""@ItsDogeCoin @RTHowell Haf yu sin mi danz?"""
tweet41,Jun-05-2021,9:21 am,"{""Text"":""@lexfridman @VitalikButerin @ethereum @Bitcoin @dogecoin @ShibainuCoin @IOHK_Charles @Cardano @chainlink @0xPolygon I pretty much agree with Vitalik"""
tweet42,Jun-25-2021,12:13 pm,"{""Text"":""@DogecoinRise Starship Super Heavy"""
tweet43,Jul-01-2021,9:43 am,"{""Text"":""Release the Doge! https://t.co/9bXCWQLIhu"""
tweet44,Jul-02-2021,4:09 am,"{""Text"":""@RenataKonkoly @thesheetztweetz @rookisaacman @johnkrausphotos @wapodavenport @blueorigin But can I pay in Doge?"""
tweet45,Jul-14-2021,6:48 pm,"{""Text"":""@doge_southern @SamTwits @TeslaOwnersEBay @Kristennetten @RationalEtienne @EvaFoxU @JohnnaCrider1 @TeslaChillMode @CodingMark @Model3Owners @WholeMarsBlog @AustinTeslaClub Me too!"""
tweet46,Jul-17-2021,5:53 pm,"{""Text"":""@AshleyIllusion1 @lexfridman Lil X is hodling his Doge like a champ. Literally never said the word \""sell\"" even once!"""
tweet47,Aug-23-2021,10:49 pm,"{""Text"":""@OptimoPrincipi Ancient Doges"""
tweet48,Aug-30-2021,2:27 am,"{""Text"":""@TDogewhisperer Important"""
tweet49,Sep-22-2021,9:50 pm,"{""Text"":""@BillyM2k Super important for Doge fees to drop to make things like buying movie tix viable"""
tweet50,Oct-22-2021,7:56 pm,"{""Text"":""@UberFacts *In Dogecoin"""
tweet51,Oct-24-2021,7:55 pm,"{""Text"":""@ProTheDoge Lots of people I talked to on the production lines at Tesla or building rockets at SpaceX own Doge. They aren't financial experts or Silicon Valley technologists. That's why I decided to support Doge - it felt like the people's crypto."""
tweet52,Oct-31-2021,6:20 pm,"{""Text"":""Tuition is in Dogecoin &amp; u get a discount if u have a dog"""
