,Date,User,Tweet
0,2022-05-04,bmurphypointman,#business #bitcoin #tumblr #twitter #facebook #instagram #dogecoin #socialmedia #tiktok #doge #deal #gift #gifts #giftideas #shop #shopping #affiliatemarketing  #gifts #baskets https://t.co/dnN7uRmi6e
1,2022-05-04,Taha86613152,"RT @Mesut_Vatanseve: @binance #Shibnobi will be launching on #BSC in the coming weeks, get excited!! 🥷⛩

#SHINJA #BinanceSmartChain #DeFi #…"
2,2022-05-04,jackspa84167797,RT @DogecoinNorway: When this guy smiles back at ya kinda makes ur week pretty awsome 🥰 #dogecoin #doge
3,2022-05-04,Meryem_8831,"RT @gem_krali: 🍀 #TRX ÖDÜL ETKİNLİĞİ

3 KİŞİYE TOPLAM 300 #TRX

👍BU PAYLAŞIMI RT YAP BEĞEN

🍀İKİ ARKADAŞINI ETİKETLE.

SÜRE 36 SAAT.

 #Hol…"
4,2022-05-04,criptoafilli06,"RT @nftpromoturk: 🎁 HEDİYE ZAMANI 🎁

🏆2 kisiye 300000 #Shiba
🏆2 kişiye 100 #TRON
🏆2 kişiye 50 #dogecoin

Şartlar: 

1️⃣Bizi takip edin @NFT…"
5,2022-05-04,orderdoge,"DOGE is at 0.131 USD [05:56]
Follow to get price updates as you scroll Twitter!
#dogecoin #dogearmy #shibaarmy #shibarm $shib #dogecoinrise #doge $doge"
6,2022-05-04,adymarco11,"@okaydoges @dogecoin @nftw301
@SoyLoroy
@Thedestructor62
@SasiNoam
@PinkMonkeyBison
@babylylia7925
@Bigrubberduckyx
@helloworld5409
@MK_Tristan
@hanyobel
@WaiYan883
@0x_Mia
@AchrafElaaly
@KashSpiegel
@FFavee
@lijoshen
@Adr1ano014
@rudeboyer8
@sollknight
@snoopppyyyyy
@lento4597
@Sel_R23"
7,2022-05-04,DoyalCaspar,@elonmusk and those commercial/Government users must pay using the future currency @dogecoin #dogecoin #twittersold #futurecurrency #FreeSpeech
8,2022-05-04,Taha86613152,"RT @Mesut_Vatanseve: @ffurknaydnn @binance #Shibnobi will be launching on #BSC in the coming weeks, get excited!! 🥷⛩

#SHINJA #BinanceSmart…"
9,2022-05-04,BwcDeals,"17% Off!

Ecobee3 Lite SmartThermostat

https://t.co/YaNLSzwMG8

#BwcDeals #Dogecoin #nfts #clearthelist #Today https://t.co/JGgvW1NaGO"
