,Date,User,Tweet
0,2022-05-04,marko_55,"為替(22/05/04 19:00㈬現在)

米ドル→130.02円
香港ドル→16.56円
台湾ドル→4.40円
中国元→19.68円
ユーロ→136.83円
英ポンド→162.65円
豪ドル→92.56円
ﾙｰﾌﾞﾙ→1.89円
BTC→5,052,242円
Ethereum→368,260円
Ripple→80.02円
MonaCoin→105.40円"
1,2022-05-04,marko_55,"為替(22/05/04 18:50㈬現在)

米ドル→130.05円
香港ドル→16.57円
台湾ドル→4.40円
中国元→19.68円
ユーロ→136.86円
英ポンド→162.63円
豪ドル→92.52円
ﾙｰﾌﾞﾙ→1.88円
BTC→5,058,500円
Ethereum→369,150円
Ripple→80.18円
MonaCoin→105.40円"
2,2022-05-04,marko_55,"為替(22/05/04 18:40㈬現在)

米ドル→130.04円
香港ドル→16.57円
台湾ドル→4.40円
中国元→19.68円
ユーロ→136.93円
英ポンド→162.69円
豪ドル→92.57円
ﾙｰﾌﾞﾙ→1.88円
BTC→5,072,166円
Ethereum→369,550円
Ripple→80.65円
MonaCoin→104.60円"
3,2022-05-04,dandan_monacoin,RT @BBJOA9: コロコロ https://t.co/S8YcgWjFzu
4,2022-05-04,marko_55,"為替(22/05/04 18:30㈬現在)

米ドル→130.04円
香港ドル→16.57円
台湾ドル→4.40円
中国元→19.68円
ユーロ→136.92円
英ポンド→162.75円
豪ドル→92.58円
ﾙｰﾌﾞﾙ→1.88円
BTC→5,060,122円
Ethereum→368,490円
Ripple→80.50円
MonaCoin→104.60円"
5,2022-05-04,marko_55,"為替(22/05/04 18:20㈬現在)

米ドル→130.07円
香港ドル→16.57円
台湾ドル→4.40円
中国元→19.68円
ユーロ→136.90円
英ポンド→162.79円
豪ドル→92.57円
ﾙｰﾌﾞﾙ→1.88円
BTC→5,062,601円
Ethereum→369,180円
Ripple→80.38円
MonaCoin→105.00円"
6,2022-05-04,rhm_iriiis,"八木さんの適当キャス！PCからキャス配信中 - #monacoin 神社関係とか
 / ビール飲みながら　モナコイン神社関 https://t.co/kTOmAdSIP4"
7,2022-05-04,marko_55,"為替(22/05/04 18:10㈬現在)

米ドル→130.07円
香港ドル→16.57円
台湾ドル→4.40円
中国元→19.68円
ユーロ→136.82円
英ポンド→162.71円
豪ドル→92.53円
ﾙｰﾌﾞﾙ→1.89円
BTC→5,052,480円
Ethereum→369,040円
Ripple→80.30円
MonaCoin→105.00円"
8,2022-05-04,marko_55,"為替(22/05/04 18:00㈬現在)

米ドル→130.04円
香港ドル→16.57円
台湾ドル→4.41円
中国元→19.68円
ユーロ→136.86円
英ポンド→162.76円
豪ドル→92.58円
ﾙｰﾌﾞﾙ→1.88円
BTC→5,065,780円
Ethereum→369,970円
Ripple→80.35円
MonaCoin→105.00円"
9,2022-05-04,marko_55,"為替(22/05/04 17:50㈬現在)

米ドル→129.99円
香港ドル→16.56円
台湾ドル→4.41円
中国元→19.67円
ユーロ→136.93円
英ポンド→162.82円
豪ドル→92.59円
ﾙｰﾌﾞﾙ→1.87円
BTC→5,051,079円
Ethereum→369,275円
Ripple→80.03円
MonaCoin→105.00円"
10,2022-05-04,marko_55,"為替(22/05/04 17:40㈬現在)

米ドル→130.05円
香港ドル→16.57円
台湾ドル→4.41円
中国元→19.68円
ユーロ→136.89円
英ポンド→162.75円
豪ドル→92.58円
ﾙｰﾌﾞﾙ→1.87円
BTC→5,056,444円
Ethereum→369,970円
Ripple→80.06円
MonaCoin→105.00円"
11,2022-05-04,yuugateitoku,"Monacoin寄付受け付けてます！！！！（僕の口座ではない
MNcvxnSF7tc3uajzh6b98jbs9QnhhE9sA6
#monacoin
#mona
#RT希望"
12,2022-05-04,marko_55,"為替(22/05/04 17:30㈬現在)

米ドル→130.05円
香港ドル→16.57円
台湾ドル→4.41円
中国元→19.68円
ユーロ→136.91円
英ポンド→162.85円
豪ドル→92.57円
ﾙｰﾌﾞﾙ→1.85円
BTC→5,046,502円
Ethereum→369,820円
Ripple→80.01円
MonaCoin→105.00円"
13,2022-05-04,Kdh2Yukichi,RT @shizukea014: You can now buy JPYC through metamask in polgygon chain and convert for #Monacoin $Mona . Some japanese services are accep…
14,2022-05-04,zinmen_jp_NFT,RT @shizukea014: You can now buy JPYC through metamask in polgygon chain and convert for #Monacoin $Mona . Some japanese services are accep…
15,2022-05-04,marko_55,"為替(22/05/04 17:20㈬現在)

米ドル→130.04円
香港ドル→16.57円
台湾ドル→4.40円
中国元→19.68円
ユーロ→136.79円
英ポンド→162.76円
豪ドル→92.49円
ﾙｰﾌﾞﾙ→1.85円
BTC→5,040,805円
Ethereum→368,940円
Ripple→79.95円
MonaCoin→105.00円"
